ID,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-15,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-06,2025-12-07,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-13,2025-12-14,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-27,2025-12-28,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01
as20931165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as21882927,0,3298,1961,4925,0,2549,4726,4791,2487,3542,1441,2842,3439,4104,2119,0,2288,2769,1547,3663,3786,2394,1280,1997,3663,1269,1900,1499,3355,1221,2992,2292,1998,1927,6737,1251,1863,2142,1924,1651,2023,1443,2425,3515,1428,3185,1983,58,0,0,0,0,0,1579,4035,1958,2146,1558,0,0,0,2746,3066,5499,1668,2585,2108,5806,5475,2001,2080,2075,107,2017,2369,2753,2049,1265,2335,5061,4561,3048,80,0,0,2319,3202,610,4216,2744,4511,3809,0
as24249239,0,0,3258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as24250257,0,0,0,0,4783,6652,1386,0,0,0,0,0,0,3913,3500,4681,0,0,0,0,0,0,0,0,0,0,0,0,4403,6132,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3629,3636,0,0
as24600417,0,0,0,1044,988,764,591,0,0,1911,1526,796,1735,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as25463435,0,0,60,0,186,0,0,0,0,0,171,14,0,32,0,0,0,0,0,69,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,73,0,0,0,0,0,0,839,0,0,0,0,0,0,0,0,0,304,0,0,0,998,0,267,0
as25587070,7115,6072,5515,0,9010,7123,9242,17028,9573,6967,9064,33,8664,7600,4235,7612,8945,8537,5260,6920,5717,0,0,0,0,8212,6548,5319,8406,6142,6156,7435,0,9096,8823,9360,5108,6512,10196,4127,3273,10658,4884,999,7885,4946,5623,8819,8291,2946,6058,7238,7135,7880,8194,7415,3118,5511,6623,6138,3396,34,7103,3296,3454,5778,5833,3719,2630,9213,0,4443,3120,3959,8720,5484,3073,8172,8421,6613,6652,3292,5249,5916,7155,7043,5371,3202,5034,8161,7863,7229,0
as25632227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5986,0,0,0,0,0,0,0,0,0,0,0,4430,1063,0,3754,2943,0,0,0,0,0,0,0,0
as25771616,3161,3689,365,2053,1183,1585,5896,3253,3838,4386,0,0,4371,2824,6087,3375,3432,5431,1926,7093,4362,0,0,366,2380,3879,3119,2954,9037,0,3078,4432,0,0,0,0,0,0,0,2479,1539,3096,2576,158,1842,0,0,31,0,460,5780,5529,3298,0,0,0,0,0,0,0,0,0,0,6253,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,335,4042,3901,1882,2397,4467,3549,3886,0,0,0,0
as26964887,0,0,0,192,392,1087,0,639,260,0,0,0,0,0,0,0,0,1222,0,736,221,0,0,0,0,1191,1376,1291,2333,3686,2467,275,79,0,0,0,0,966,841,2237,0,0,0,0,0,0,0,0,0,936,0,252,640,73,383,540,576,298,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as27275010,0,0,0,0,0,10764,8837,0,0,0,0,0,0,0,0,945,0,5929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3290,7679,0,5688,0,0,0,0,0,0,0,0,0,0,4479,0,0,0,0,0,0
