ID,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-15,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-06,2025-12-07,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-13,2025-12-14,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-27,2025-12-28,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01
as20931165,0,0,0,25715121,23215499,20714853,40791909,36840656,41303123,26048915,24571354,24476815,24825751,193419,0,0,0,0,23119899,35940209,43951681,36427878,29456395,20156647,35213082,26203236,37806575,26684142,31137917,5203649,31853500,34018213,37996056,36451284,46332388,9396292,0,0,0,0,0,7213495,0,0,0,0,0,0,0,0,0,0,25960548,40894657,41981820,33123348,13803094,0,0,0,0,0,0,0,0,31050777,31516560,33354520,33009270,39668053,26527873,164703,0,0,0,0,0,0,0,0,0,15997084,30912042,0,0,0,0,0,7125337,32476927,22506213,10649410,117762
as21882927,0,0,0,2876640,18084432,0,0,4345942,29367296,14727045,15607729,0,0,2003121,28117287,2982973,0,0,7417855,193906,0,16205995,27862940,26404415,28846002,2395515,0,252517,3783824,13666668,30553353,4218161,27215650,3301998,0,3357411,2949357,0,38270354,22185019,22804675,24295955,3701784,0,8226721,2833720,14966745,3271663,0,0,0,0,0,0,0,18399776,29287670,29762175,3720152,0,0,0,21069967,34739527,20924740,4221630,0,11599606,0,21725588,27325008,24859076,5964076,0,0,3557350,7937358,18753004,30362553,2763480,4942588,19029574,9887762,0,0,0,0,7804197,31343572,2443114,15280295,42155933,26292657
as24249239,0,0,10784783,18265799,11855491,0,0,0,0,0,8636836,12536754,15686875,2234707,0,0,0,9278036,19625177,15457396,18261092,21871064,1696688,0,0,0,0,0,0,0,0,0,13688671,15912480,14518283,12876532,17434515,0,0,0,7167776,11905603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13839647,3749321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23300732,9655114,0,0,0,0,0,0,0,0,0,0,0,0
as24250257,15289762,0,0,0,0,0,22782064,388800,0,0,0,0,0,0,0,7343580,12948262,0,0,0,0,0,0,0,0,0,0,0,0,0,3436834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6663257,0,0
as24600417,0,0,0,0,10072699,0,8158310,0,4255512,1680641,0,9163762,15542227,22365290,10700701,6144094,261608,0,0,0,604240,13241360,4640863,0,0,0,0,597536,12969111,14024430,9758275,9426813,20125686,0,0,0,0,9060514,318367,9081149,19319409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9659491,0,0,0,0,0,0,0,0,2062827,2452333,0,0,0,0,0,0,0,10772710,22895,8095738,7130,0
as25463435,0,0,0,0,10303447,37651398,3571071,0,0,0,0,0,20546028,13690367,0,0,0,0,0,25343402,27978099,33510770,0,19557902,26668506,19228336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425763,39456460,45876407,0,0,0,0,5598749,0,0,0,0,0,0,0,0,0,30791837,4298464,0,0,0,0,4434800,8348235
as25587070,0,11322135,11239740,87109,0,0,0,10559620,8111073,9341504,5460085,8143818,10484758,7712542,13483501,487230,10127034,10560136,13687560,7454189,550130,1329313,0,0,0,0,1015814,1215098,0,33930,11645541,7037856,5852621,9602882,8183846,0,0,0,10431869,15536436,8679860,9074210,8322198,10603562,10291794,7881551,11131966,9426364,28214,0,9809291,6372723,10760528,0,37844,6783885,11352062,14895734,10229829,4227285,17836352,23719687,19215257,6926862,13387475,19851102,10043643,0,10707249,12159317,0,0,0,312600,8952162,8059915,4398415,8672705,14112424,16888529,11269362,5189518,12259209,4973916,15981960,13684624,0,12108552,4638136,9560627,0,6218241,16146289
as25632227,7663433,2851581,1249469,21330,0,0,0,0,0,0,11862470,9124191,3151516,10467354,4448443,3775050,8314694,5941276,10211627,10820832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6085151,6197296,7186535,2605847,7918021,7959771,3015872,1821863,4254809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2180596,7807993,13013842,9166220,135913,5409233,2561456,18184638,1480141,9132887,5119464,17824403,7901216,5569824,8820852,22118,0,0,0,0,0,0,0
as25771616,9305467,18356749,27338386,24537587,1799250,10849001,18509988,13098112,16734624,20812693,28734544,0,0,0,947070,10432941,26063313,22149253,0,2329229,19525126,0,0,0,0,28560870,41215791,6309288,1068760,18408116,29472063,19919776,33476301,0,0,0,0,0,0,0,0,3877743,38192254,10014147,0,34503872,0,0,0,7093989,38568558,48968380,38857814,29159612,0,0,0,0,0,0,0,1055813,48074283,54728369,44270052,0,0,0,0,0,0,0,0,18187511,0,0,0,0,0,0,0,0,16413162,49715371,26223550,30238789,40879607,59079139,33600864,0,0,0,0
as26964887,0,0,0,0,0,2483894,0,48438300,30632929,0,0,0,0,0,0,0,0,0,0,20569426,64536833,3861615,0,0,0,0,26308821,61234510,30206169,27213758,44630708,20735575,22561163,16073167,0,0,0,16034242,60416716,52579305,4510119,0,0,0,0,0,0,0,0,0,0,7895993,61515428,48151150,41657293,48934212,44865637,50910333,30281427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as27275010,0,21174301,0,0,0,5860339,12187560,6994947,0,0,0,0,2666127,2424181,0,1721759,10366497,6837620,16255489,12898342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806714,5180372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29894,13836304,12704110,7071194,3510997,0,0,0,0,0,0,0,0,0,6154203,9883037,0,0,0,0,0
