ID,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-15,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-06,2025-12-07,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-13,2025-12-14,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-27,2025-12-28,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01
as20931165,1007.88,984.74,18850.98,723.53,6499.65,722.93,862.41,914.93,896.66,16171.79,935.68,2093.55,14451.78,691.23,1005.38,1123.65,1748.29,909.53,948.6,826.86,683.52,1003.74,702.05,1500.17,756.52,4892.2,868.32,689.87,647.4,707.43,639.76,572.04,997.38,949.44,986.72,1097.01,1177.83,3975.22,542.52,2822.72,977.13,7027.43,814,981.97,719.71,801.94,723.59,849.17,953.84,902.15,934.35,810.99,843.6,904.52,985.06,831.09,814.35,17844.17,821.47,883.44,10585.5,1229.05,1055.58,1052.55,1147.94,373.09,0,814.65,14834.09,1098.53,1129.59,880.33,934.07,1022.33,2753.36,1487.65,1288.66,1825.48,1371.9,1057.12,1276.48,1415.89,1279.7,1363.56,912.49,819.8,798.18,702.33,790.62,769.47,101095.94,94992.26,0
as21882927,5529.95,1394.42,31737.79,51256.66,37988.39,23642.76,0,26841.34,667.51,29568.41,58711.3,23719.66,0,14224.63,272.44,769.52,0,0,0,54457.69,75643.99,13793.75,131.3,31432.52,40447.02,32876.15,38046.99,106.13,4597.86,906.54,6086.1,38739.35,32522.8,30143.61,198118.31,78043.91,4981.01,38729.6,40299.38,119.34,36600.28,15404.44,79282.07,17183.46,38361.56,41738.14,786.19,45083.05,5469.93,80506.47,196.72,30270.53,38815.26,78.04,4287.17,34932.31,66314.7,32931.66,32000.62,29186.9,1667.31,11721.01,5758.56,243444.72,178.48,29904.76,143.76,316200.74,283739.5,29720.8,4365.74,13697.64,32451.44,0,0,3346.95,40027.93,36.68,15123.72,142119.23,138690.19,1473.26,414164.02,414586.47,87649.1,97430.78,32017.11,30403.38,34589.99,39135.61,663.91,122487.41,0
as24249239,8496.68,39822.25,14995.07,18896.8,143597.26,12759.38,18649.73,12996.09,63941.67,14178.27,11179.16,20303.15,24914.34,6955.69,200.31,14211.26,17876.56,18126.49,75062.61,71277.44,97222.85,133348.36,13782.12,18038.05,6472.58,12884.04,13000.53,7262.12,35887.84,361.87,12330.47,35354.4,16914.65,12630.88,13473.13,178385.36,31935.2,12361.25,23003.37,7220.05,13084.63,133703.25,102250.51,146.1,1159.39,168.8,4056.26,153.87,6619.69,174603.74,13937.26,12332.62,6293.81,18.17,0,0,20839.1,17352.11,12172.12,12831.15,6024.13,208.03,12901.44,162.04,124882.27,12442.81,2897.52,0,0,0,0,0,20456.27,14415.29,12803.63,6235.87,981487.27,2833.27,962375.47,22122.6,29636.84,14199.53,12476.28,7649.38,174851.79,192.24,34928.84,6389.02,15685.99,17569.96,7021.26,10214.98,0
as24250257,113345.5,5578.28,136369.02,187902.69,140805.22,594474.9,187121.95,152370.77,121518.43,212185.66,171915.83,207871.93,148605.48,187581.38,86831.99,323317.37,100105.98,110310.1,190098.34,238381.15,142861.74,187454.56,1884.37,128686.71,153834.22,154441.02,186438.24,173070.25,37913.92,235787.8,126364.69,159781.02,129257.94,272745.86,121608.83,152549.78,6418.57,117476.31,159166.73,206169,280867.26,208674.08,117970.65,133760.53,99280.98,146696.53,262688.67,151712.94,263557.74,126693.87,4867.34,165206.27,123339.02,238748.26,314709.82,218496.92,228293.59,145705.49,105280.32,193929.08,219257.79,248830.81,125768.4,157011.69,11798.32,183060.89,69855.26,0,0,0,0,0,0,0,0,63123.73,144148.6,118410.15,12423.42,313198.67,197025.5,140489.23,228184.53,162678.57,159449.08,158983.81,100654.45,152164.37,332384.05,237680.99,167184.74,195649.66,0
as24600417,65681.96,175006,19522.13,138528.11,34460.75,19601.89,13773.55,16468.31,194.47,127505.98,13844.55,24394.68,17326.71,270624.22,43728.69,258426.31,30882.78,40880.34,17463.35,63.55,45.64,5810.22,7924.74,13885.82,6478.32,0,21810.23,138489.32,25001.59,592003.25,144748.32,476938.13,37607.48,17166.97,32567.68,20557.23,700.08,48165.77,20412.26,23497.59,241802.1,36533.07,9809.31,613.69,40401.8,6131.85,9033.93,21224.22,15744.75,192178.84,2342.94,42.89,42334.15,95214.13,0,225.11,794.68,468.33,1372.7,0,0,0,135514.57,64240.15,8885.58,160706.01,135286.01,139126.97,18534.58,174105.09,17900.57,2229.12,192594.97,185833.37,21800.09,254025.69,177139.2,9700.47,717.39,132498.2,15132.15,132150.33,147545.29,105402.47,107827.42,2429.9,148444.98,42091.2,7824.54,141168.17,54780.04,201909.4,0
as25463435,5147.54,347123.86,1896.09,5432.69,3060.9,6237.58,18264.69,188240.54,10515.18,2043.3,3345.4,4792.72,8196.14,2799.25,1046.72,2255,3866.13,3116.45,0,16404.96,1172.86,2843.32,551.8,1799.61,9732.54,3555.36,3569.77,7877.82,4248.81,502.75,5961.18,1814.66,4188.25,5528.62,15944.3,1169.98,1200.68,8578.62,9708.4,3804.73,21745.84,39103.86,1076.81,184289.35,10239.77,2707.57,266.7,0,19363.15,215.55,12733.31,3332.87,1668.93,20812.51,467.66,1435.87,116562.84,116096.1,6014.32,22114.76,285336.77,285.32,11103.58,276435.08,5548.27,6859.27,2989.85,5971.16,5654.81,293.49,7374,2277.41,3328.71,18830.92,4172.91,7202.59,13215.8,995.01,1223.68,3689.59,4068.68,4114.62,18457.66,538.98,193679.31,917.88,1291.47,3579.57,4872.21,96.82,0,557.99,0
as25587070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as25632227,317697.88,9130.35,17168.3,84.69,0,0,240931.3,12416.16,15763.87,18799.07,8510.39,7014.85,195485.69,57462.31,40773.24,20835.19,20975.39,10415.49,9229.33,30127.71,8839.48,1828.8,13524.52,13327.72,113737.78,30048.68,118813.78,127773.98,10316.46,5459.13,13097.29,36240.25,21162.74,10820.92,4390.81,5005.18,4819.79,12637.94,15643.08,11643.11,14775.24,24580.24,1677.36,5544.85,4725.75,43044.19,10710.86,144406.6,9182305.71,37754.06,37483.54,50350.84,803809.64,280827.78,160532.34,61383.86,34106.43,541746.85,22832.5,2446249.48,6859790.19,132384.82,538.05,0,0,0,0,0,0,5135.43,12613.55,112221.82,9478.01,118522.47,8233.29,3001.29,27905.29,4458.41,4223.52,3705.48,7105.81,5068.35,8315.48,27448.76,3786.06,20211.62,98452.94,84837.39,5651.2,2273.98,6188.89,6208.8,0
as25771616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32407.03,85737.67,141835.17,33027.13,298.93,20219.77,45728.66,45579.29,14.8,164012.98,12406.79,21891.96,21231.62,37660.77,22372.83,41865.58,66038.99,65263.72,25834.53,139766.26,45612.42,92458.23,21898.02,10846.82,11620.44,60999.85,83663.44,340484.03,13772.97,15197.18,12249.44,314779.57,70764.41,38678.27,167211.96,6702.57,484713.16,22161.46,77257.34,42154.73,133542.57,23287.88,152169.89,11774.71,206012.61,24581.13,0,0,0,24191.61,57457.21,1302.84,1401.79,2897.35,447.11,16778.98,23436,4413.43,5140.84,132958.93,0,0,0,127798,77411.98,19054.29,2644.25,28465.55,31558.95,40769.08,66156.06,279937.7,117166.99,0
as26964887,432075.41,25590.53,21636.57,35713.51,22352.51,17995.18,51243.23,18982.49,33656.86,30219.35,26046.12,43257.54,17377.92,50240.49,172670.39,38322.64,21209.38,40418.71,17279.85,35167.42,27467.86,18685.24,736.99,16881.16,20696.27,18539.99,30947.88,36848.79,56086.25,9640.13,18455.9,22765.76,21662.95,705.5,839.83,677.77,671.5,17022.68,8331.51,8648.98,0,0,0,0,27627.92,32802.6,19296.52,752.66,11520.83,9274.8,1073.4,17131.12,37030.26,32210.59,17160.63,17959.9,194402.92,19452.32,16945.44,36650.42,28812.27,939,17475.09,745.21,17065.8,18154.91,12582.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
