ID,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-15,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-06,2025-12-07,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-13,2025-12-14,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-27,2025-12-28,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01
as20931165,,,,44.9887495040894,0,0,0,3.00375008583069,0,0,0,0,0,,,,,,0,161.494003295898,0,0,0,0,0.506250023841858,0,0,16.5037498474121,36.0112495422363,0,0,0,0,0,0,,,,,,,13.9724998474121,,,,,,,,,,,0,25.0087509155273,6.51375007629395,23.9849993387858,0,,,,,,,,,0,0,0,0.506250023841858,0,0,,,,,,,,,,,135.506500244141,0,,,,,,13.9724998474121,0,0,,
as21882927,,,,67.0274963378906,,,,65.0025024414062,32.5012512207031,0,52.9874992370605,,,67,271,,,,150,,,531,248.5,317,101.666666666667,,,70,,72,214.5,,224,,,596,,115,68,472,136,33,,,72,,276,0,,,,,,,,180.5,39.5,164,,,,,371.333333333333,26.5,79.6666666666667,,,167,,315,239.5,0,0,,,610,161,180,101.5,,75,39.5,0,,,,,25,117.5,,88,72.3333333333333,
as24249239,,,449.010009765625,341.010009765625,,,,,,,649.991516113281,0,564.974975585938,,,,,883.97998046875,,,,,,,,,,,,,,,451.980010986328,381.983001708984,408.983001708984,,,,,,568.013000488281,,,,,,,,,,,,,,,,,,393.997497558594,,,,,,,,,,,,,,,,,,,,,764.977478027344,678.982971191406,,,,,,,,,,,,
as24250257,0,,,,,,665.333333333333,,,,,,,,,0,0,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5,,
as24600417,,,,,69,0,0,0,15,0,,164,10.6666666666667,0,,,0,,,,-1,0,0,,,,,11,11.5,0,,2,0,,,,,354.5,1,1.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,0,,,,,,,,155,0,0,0,
as25463435,,,,,29.0249996185303,70.5039978027344,,,,,,,62.9775003194809,0,,,,,,6.00750017166138,136.991500854492,0,,92.0025024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0175018310547,0,,,,,,2637.96997070312,,,,,,,,,,541.013008117676,,,,,,0,
as25587070,4,13.75,34,,,,4,21.5,6.66666666666667,235.666666666667,0,0,46,3.25,12.75,0,8.33333333333333,143,149,38,26,0,,,,,,0,,0,58.5,0.333333333333333,16.6666666666667,0,8,,,0,0,0,0,329.666666666667,25.75,,0,,166.5,5.66666666666667,,1,137.666666666667,82.6666666666667,0,,0,319,0,404.333333333333,0,0,2.5,117,175.666666666667,0,0,7.5,0,,124.5,74.3333333333333,,,,1,267.333333333333,283.333333333333,93,516,201,145.333333333333,0.333333333333333,121.333333333333,0,830,0.333333333333333,199.333333333333,21.5,0,0,694,88,0,
as25632227,,0,0,,,,,,,,0,134,0,0,0,0,0,0,14,0,,,,,,,,,,,,,,,,,,0,0,0,44,0,6,0,17.5,1,,,,,,,,,,,,,,,,,,,,,,,,,147,0,,,54,0,0,168,73,0,0,1.5,0,0,178.5,0,,,,,,,
as25771616,,0,42.75,0,0,403,132.5,200,353.5,7.5,83,,,,,0,46.5,231.5,,,69.6,,,,,159.5,2.5,,9,0,0,83,258,,,,,,,,,1,45,357,,100,,,,374,285,116.5,367,361,,,,,,,,334.5,77,0.333333333333333,296,,,,,,,,,,,,,,,,,,82,0,0,304,0,111,0.5,,,,
as26964887,,,,,,616.005004882812,,49.6576690673828,17.9887504577637,,,,,,,,,,,184.005004882812,177.998001098633,,,,,,369.022754669189,75.3300018310547,60.3226674397786,49.680165608724,248.501495361328,0,747.968017578125,,,,,211.005004882812,259.98765818278,201.330332438151,,,,,,,,,,,,602.97802734375,163.485000610352,420.997486114502,107.494003295898,3.66749986012777,22.5112495422363,238.511505126953,365.984985351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as27275010,,17,,,,301.5,116,0,,,,,0,0,,31.5,0,0,0,10,,,,,,,,,,,,,,,,195,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,36,71,12.3333333333333,0,,,,,,,,,,488,0,,,,,
as27764147,,,61,261.75,351.5,49,98,117.666666666667,2,0.666666666666667,1705,544,164,163,30.5,68.5,128.666666666667,1,796.333333333333,0,,,63,,165,35,125.666666666667,181,0,1,22,19.3333333333333,202.666666666667,0,0,10,0,227,,218.333333333333,8,601,0,10,0,59,51,,,0,,492,74,126.5,26,459,0,0,0,0,,,522.5,,3,,0,406,324.666666666667,335.5,,,393,,430,686,270.25,,0,121,579,465,599,560.5,,,,570,0,194.5,233.333333333333,8,
as28803260,19,14,25,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,72,35.3333333333333,0,24,57,10,0,0,4,32,22,85.5,12.5,41.3333333333333,,,12,,0,0,36.3333333333333,,,6,1.33333333333333,0,0,0.333333333333333,0.5,,,,0,0,8.33333333333333,49,,77,13.5,26,0.666666666666667,0,12,1.5,1,38.5,12,0,35.6666666666667,10,,18,12,0,
