stick_sensor,heart_beat,total_sleep,rem_sleep,body_temperature,walk,skin_temperature,oxygen_saturation,deep_sleep,hrv,stress_score,level,level_name
15.0,81.6993630573248,20.0,7.0,36.3765384615385,5656.0,32.2376923076923,97.40297067496518,1.0,10.8,5.0,1,높은 활동
20.0,73.765,28.0,10.0,34.6873134328358,7822.0,27.2309701492537,97.40297067496518,4.0,9.0,4.0,1,높은 활동
10.940876136015522,84.5318066157761,210.0,86.0,33.7333333333333,18.0,24.83125,97.40297067496518,11.0,25.13101930721181,4.0,1,높은 활동
32.0,86.5487012987013,68.0,38.0,34.3493055555556,13021.0,27.5552083333333,97.40297067496518,3.0,7.4,4.0,1,높은 활동
10.0,84.4754901960784,250.0,98.0,35.3783972125436,2311.0,29.018118466899,96.9714285714286,9.0,8.3,4.0,1,높은 활동
10.0,70.0113981762918,189.0,40.0,35.9055555555556,5058.0,30.8784722222222,97.5333333333333,24.0,12.6,5.0,1,높은 활동
10.0,56.7929292929293,197.0,56.0,36.4534722222222,695.0,32.6996527777778,97.5428571428571,41.0,25.6,5.0,1,높은 활동
10.0,86.4572564612326,65.0,29.0,33.5770833333333,1906.0,22.2888888888889,97.4685714285714,4.0,11.7,8.0,1,낮은 활동
10.0,82.3644501278772,160.0,73.0,35.0159722222222,3672.0,27.7496527777778,97.40297067496518,4.0,8.9,8.0,1,높은 활동
5.0,80.3803680981595,245.0,99.0,34.6229166666667,4649.0,26.2003472222222,97.5342465753425,7.0,25.13101930721181,5.0,1,낮은 활동
27.0,79.7282913165266,180.0,44.0,35.5996527777778,11053.0,29.5767361111111,97.4857142857143,37.0,5.2,2.0,1,높은 활동
10.0,90.688489968321,20.0,9.0,36.5733333333333,1095.0,33.0686274509804,97.40297067496518,1.0,9.4,6.0,1,중간 활동
15.0,82.7584415584416,190.0,72.0,34.0767361111111,2040.0,25.6690972222222,97.4901408450704,8.0,9.6,5.0,1,낮은 활동
15.0,72.2033472803347,83.0,29.0,35.1298611111111,2504.0,28.6118055555556,97.4745762711864,7.0,12.4,6.0,1,중간 활동
5.0,83.3358490566038,240.0,67.0,37.3679245283019,4740.293584221265,35.6660377358491,97.4923076923077,41.0,10.7,2.0,1,중간 활동
10.0,82.655,108.0,9.0,36.3631944444444,18851.0,32.4729166666667,97.40297067496518,39.0,12.7,5.0,1,높은 활동
